web-scraper-order,web-scraper-start-url,volume,volume-href,article-href,article_link-href,abstract,author_group,issue_date,keywords
"1551951565-532","https://www.sciencedirect.com/journal/social-networks/issues","Volume 36","https://www.sciencedirect.com/journal/social-networks/vol/36/suppl/C","Digital access, political networks and the diffusion of democracy","https://www.sciencedirect.com/science/article/pii/S0378873312000524","We examine the effects of digital access on the prevalence of democracy and its diffusion via trade, geographical and migration networks across 189 countries between 2000 and 2010. We find that different digital technologies may have varying impacts on freedom while affecting its diffusion via different political networks, and that related changes in civil liberties can be affected by both media freedom and internal political institutions. Our analysis suggests three key mechanisms linking information technology with democratic change and highlights the importance of a country's “susceptibility” to political influence that is triggered by greater digitally induced visibility.","Author links open overlay panelLaurenRhueArunSundararajan","Volume 36, January 2014, Pages 40-53","KeywordsDemocracyInternetSocial mediaSelectionInfluenceDynamic panel"
"1551952618-862","https://www.sciencedirect.com/journal/social-networks/issues","Volume 57","https://www.sciencedirect.com/journal/social-networks/vol/57/suppl/C","How MPs ties to interest groups matter for legislative co-sponsorship","https://www.sciencedirect.com/science/article/pii/S0378873317304835","This article investigates whether linkages between members of parliament (MPs) and interest groups influence MPs' activities of co-sponsoring legislative proposals. Based on statistical models for network data, the study builds on classical explanations of co-sponsorships highlighting the role of similar ties between MPs, such as party membership, legislative committee assignments, electoral district or gender. It shows that, on top of these traditional forms of homophily, MPs’ ties to interest groups matter as well. MPs with ties to a similar type of interest groups are more likely to co-sponsor their respective proposals. The same holds for MPs with ties to groups active in the same policy domain. These findings have implications for the study of groups’ lobbying, legislative behaviour and representative democracy.","Author links open overlay panelManuelFischeraFrédéricVaronebRoyGavabPascalSciarinib","Volume 57, May 2019, Pages 34-42","KeywordsCo-sponsorshipParliamentNetworkInterest GroupHomophilyERGM"
"1551949916-46","https://www.sciencedirect.com/journal/social-networks/issues","Volume 23, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/23/issue/1","Social support networks in urban Shanghai","https://www.sciencedirect.com/science/article/pii/S0378873301000314","The present paper examines the composition of social support network in urban Shanghai. Spouse/partner and parent/parent-in-law are found to provide diffuse support, serving both instrumental and emotional functions. Compared to kin ties, support from coworkers are likely to be more specialized and secondary. These findings are inconsistent with earlier data collected by Ruan and her associates in Tianjin. They observe that work-related ties are more prevalent than kin ties in the Chinese support networks and are more likely to be preferred helpers for a variety of problems. Moreover, the roles of family ties (parent, child, and sibling) tend to be peripheral and highly specialized, mainly, in money issues. Differences in findings from the two cities are attributed partly to the different measures of social support and partly to the different social structures related to marketization.","Author links open overlay panelGinaLai","Volume 23, Issue 1, January 2001, Pages 73-85","KeywordsSocial support networkUrban ShanghaiKinNon-kin"
"1551951550-527","https://www.sciencedirect.com/journal/social-networks/issues","Volume 36","https://www.sciencedirect.com/journal/social-networks/vol/36/suppl/C","Noise, bias, and expertise in political communication networks","https://www.sciencedirect.com/science/article/pii/S0378873313000105","A central focus in the study of social networks and politics centers on the dynamics of diffusion and persuasion, as well as the manner in which these processes are affected by expert “opinion leaders.” The role of experts is particularly important in communication processes characterized by noisy, biased information – processes in which people with variable levels of expertise and strength of preference select informants, as well as being influenced by them. We employ an experimental approach that addresses these problems at multiple levels of observation in a highly dynamic context – small groups of individuals communicating with one another in real time. The analysis shows that participants formulate candidate judgments that decay in time, but the decay occurs at a significantly lower rate among the better informed. Moreover, the better informed are less affected by socially communicated messages regarding the candidates. Hence the influence of experts is not only due to their powers of persuasion, but also to the durability of their own privately formulated opinions. Their role in the communication process is further heightened by the higher value placed by participants on expert opinion, which in turn exposes the recipient to a heterogeneous and hence potentially influential stream of information.","Author links open overlay panelRobertHuckfeldtaMatthew T.PietrykaaJackReillyb","Volume 36, January 2014, Pages 110-121","KeywordsCommunication networksPersuasionExpertiseOpinion leaders"
"1551951114-384","https://www.sciencedirect.com/journal/social-networks/issues","Volume 33, Issue 4","https://www.sciencedirect.com/journal/social-networks/vol/33/issue/4","The school class as a social network and contextual effects on childhood and adult health: Findings from the Aberdeen Children of the 1950s cohort study","https://www.sciencedirect.com/science/article/pii/S0378873311000529","Little is known about the health consequences of the school class as a social network. The present study asked whether overall school-class structure has contextual effects on psychiatric problems in childhood and adult self-rated health. From longitudinal data on a Scottish cohort, measures of school-class structure (centralisation, degree of reciprocity and proportion of isolates) were constructed based on sociometric information. Multilevel analysis demonstrated significant effects of centralisation on both health outcomes. It is suggested that highly centralised classes are characterised by inequality, resulting in a low level of integration, with subsequent negative consequences for health.","Author links open overlay panelYlvaAlmquist","Volume 33, Issue 4, October 2011, Pages 281-291","KeywordsSocial networksSchool classSociometryLife courseBirth cohortHealth"
"1551952488-825","https://www.sciencedirect.com/journal/social-networks/issues","Volume 54","https://www.sciencedirect.com/journal/social-networks/vol/54/suppl/C","More or less guanxi: Trust is 60% network context, 10% individual difference","https://www.sciencedirect.com/science/article/pii/S0378873317302794","The strong ties known in China as guanxi can be distinguished by a high level of trust relatively independent of the surrounding social structure. Using network data from a stratified probability sample of 700 entrepreneurs citing 4664 contacts, we study guanxi relative to other relations to learn how much individual differences such as well-being, business differences, political participation and demographic factors matter for the guanxi distinction. Two findings stand out: First, the connection between trust and social network is robust to most differences between individuals, especially business and political differences. Trust variance is 60% network context, and 10% individual differences. Trust increases within a relationship as network closure increases around the relationship, but some relationships mature into guanxi ties within which trust is high and relatively independent of the surrounding social structure. Second, when individual differences matter, they concern social isolation. Guanxi ties are more distinct in the networks around entrepreneurs with small, marginal families, and around those with small, closed networks. Both categories of entrepreneurs are likely to experience difficulties with respect to resource access and doing business with people beyond their network, which may explain why longstanding guanxi ties linked to important events are particularly distinct for these entrepreneurs.","Author links open overlay panelRonald S.BurtaYanjieBianbcSonjaOpperd","Volume 54, July 2018, Pages 12-25","KeywordsTrustGuanxiNetwork closureEntrepreneursSocial isolation"
"1551950204-112","https://www.sciencedirect.com/journal/social-networks/issues","Volume 26, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/26/issue/1","Too Much Investment in Social Capital?","https://www.sciencedirect.com/science/article/pii/S0378873304000103","null","Author links open overlay panelCharlesKadushin","Volume 26, Issue 1, January 2004, Pages 75-90","null"
"1551950912-322","https://www.sciencedirect.com/journal/social-networks/issues","Volume 32, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/32/issue/1","Co-evolution of conventions and networks: An experimental study","https://www.sciencedirect.com/science/article/pii/S0378873309000185","We study the emergence of conventions in dynamic networks experimentally. Conventions are modeled in terms of coordination games in which actors can choose both their behavior and their interaction partners. We study how macro-level outcomes of the process in terms of Pareto-efficiency and heterogeneity depend on initial conditions. Moreover, we examine the underlying processes at the microlevel. Predictions are derived from a game-theoretic model which is applied to our experimental conditions by means of computer simulation. The results provide mixed support for the macro-level hypotheses, and indicate possible directions to improve the model at the micro level.","Author links open overlay panelRenseCortenVincentBuskens","Volume 32, Issue 1, January 2010, Pages 4-15","KeywordsNetwork dynamicsCo-evolutionExperimentCoordinationSimulation"
"1551950916-323","https://www.sciencedirect.com/journal/social-networks/issues","Volume 32, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/32/issue/1","Introduction to the special issue on network dynamics","https://www.sciencedirect.com/science/article/pii/S0378873309000574","null","Author links open overlay panelTom A.B.SnijdersPatrickDoreian","Volume 32, Issue 1, January 2010, Pages 1-3","null"
"1551951659-561","https://www.sciencedirect.com/journal/social-networks/issues","Volume 39","https://www.sciencedirect.com/journal/social-networks/vol/39/suppl/C","Ethnic ingroup friendships in schools: Testing the by-product hypothesis in England, Germany, the Netherlands and Sweden","https://www.sciencedirect.com/science/article/pii/S0378873314000318","This study set out to examine to what extent ethnic ingroup friendship in secondary school classes are a by-product of cultural and socioeconomic ingroup friendship. Based on homophily theory, we expected similar opinions, leisure activities, religion, risk behaviour and socioeconomic factors to (partly) explain ethnic ingroup preferences. Multilevel p2 models on 13,272 pupils in 625 secondary school classes in England, Germany, the Netherlands and Sweden showed that adolescents tend to have friends similar in ethnicity, cultural and socioeconomic characteristics. We find no evidence, however, that ethnic homophily is explained by cultural and socioeconomic homophily.","Author links open overlay panelSanneSmithabInekeMaasacFrankvan Tubergenabd","Volume 39, October 2014, Pages 33-45","KeywordsEthnicityFriendship networkAdolescentMultilevel p2 modelEurope"
"1551950813-292","https://www.sciencedirect.com/journal/social-networks/issues","Volume 31, Issue 1","https://www.sciencedirect.com/journal/social-networks/vol/31/issue/1","Exponential random graph (p∗) models for affiliation networks","https://www.sciencedirect.com/science/article/pii/S0378873308000403","Recent advances in Exponential Random Graph Models (ERGMs), or p∗ models, include new specifications that give a much better chance of model convergence for large networks compared with the traditional Markov models. Simulation based MCMC maximum likelihood estimation techniques have been developed to replace the pseudolikelihood method. To date most work on ERGMs has focused on one-mode networks, with little done in the case of affiliation networks with two or more types of nodes. This paper proposes ERGMs for two-mode affiliation networks drawing on the recent advances for one-mode networks, including new two-mode specifications. We investigate features of the models by simulation, and compared the goodness of fit results obtained using the maximum likelihood and pseudolikelihood approaches. We introduce a new approach to goodness of fit for network models, using a heuristic based on Mahalanobis distance. The classic Southern Women data and Australian Interlocking Director data are used as examples to show that the ERGM with the newly specified statistics is a powerful tool for statistical analysis of affiliation networks.","Author links open overlay panelPengWangaKenSharpebGarry L.RobinsaPhilippa E.Pattisona","Volume 31, Issue 1, January 2009, Pages 12-25","KeywordsExponential random graph (p∗) modelsAffiliation networksMCMC MLEPartial conditional dependence assumption"
"1551951966-660","https://www.sciencedirect.com/journal/social-networks/issues","Volume 45","https://www.sciencedirect.com/journal/social-networks/vol/45/suppl/C","Alters as species: Predicting personal network size from contact diaries","https://www.sciencedirect.com/science/article/pii/S0378873315000994","Like wildlife species in an ecological system, members within a personal network (or alters) constantly shift and often remain hard to count. Previous studies often estimated the size of such personal networks using information given by a focal person (or ego), who names a list of friends and acquaintances, or someone known or related, that meet certain specified criteria. In a search for alternative methods, we estimate the number of alters using contact diaries that help reveal active and comprehensive interactions, which enable us to predict personal network size from a longitudinal perspective. By exploring contact frequencies between ego and alters, we propose a modeling approach based on species accumulation curves from ecology. Under this approach, the contact frequency between ego and alter often turns out to be a mixture of binomial distributions, and the number of alters with whom ego may make contact in the future is assumed to follow a specified discrete distribution. We estimate the model with the Bayesian nonparametric method, in which the distribution of contact probabilities is assumed to be a mixture of Dirichlet processes. We then demonstrate this approach with a data set containing 48 contact diaries collected over three months and discuss how such an ecological analogy may enrich social network studies.","Author links open overlay panelTso-JungYenaYang-chihFubJing-ShiangHwanga","Volume 45, March 2016, Pages 78-88","KeywordsPersonal networksEgo and altersContact diariesAlter accumulation curvesMixture of Dirichlet processes"
"1551949932-50","https://www.sciencedirect.com/journal/social-networks/issues","Volume 23, Issue 2","https://www.sciencedirect.com/journal/social-networks/vol/23/issue/2","Respondent mood and the instability of survey network measurements","https://www.sciencedirect.com/science/article/pii/S0378873301000375","The affect infusion model [Forgas, 1999, Handbook of Cognition and Emotion. Wiley, Chichester, p. 591] was used to hypothesize and explain relations between respondents’ moods and the instability of survey measurements of social support ties in social networks of high school students. Two relative measures of network measurement instability were defined. The sensitivity of these to the change in respondent mood was observed by repeated measurements. Four types of social support were measured twice, under different conditions using both recognition and free recall data collection techniques. Changes in respondent mood and the data collection technique were the best two predictors of measurement instability among several survey design variables included in the survey.","Author links open overlay panelValentinaHlebecAnuškaFerligoj","Volume 23, Issue 2, May 2001, Pages 125-140","KeywordsStabilitySocial supportData collection techniqueAffect"
"1551950937-329","https://www.sciencedirect.com/journal/social-networks/issues","Volume 32, Issue 2","https://www.sciencedirect.com/journal/social-networks/vol/32/issue/2","Does the online collection of ego-centered network data reduce data quality? An experimental comparison","https://www.sciencedirect.com/science/article/pii/S0378873309000483","We analyze whether differences in kind and quality of ego-centered network data are related to whether the data are collected online or offline. We report the results of two studies. In the first study respondents could choose between filling out ego-centered data through a web questionnaire and being probed about their network in a personalized interview. The second study used a design in which respondents were allocated at random to either online or offline data collection. Our results show that the data quality suffers from the online data collection and the findings indicate that this is the consequence of the respondents answering “mechanically”. We conclude that network researchers should avoid to simply copy traditional network items into a web questionnaire. More research is needed about how new design elements specific for web questionnaires can motivate respondents to fill out network questions properly.","Author links open overlay panelUweMatzatChrisSnijders","Volume 32, Issue 2, May 2010, Pages 105-111","KeywordsWeb surveysData qualityOnline data collectionExperimentSocial network data"
"1551951856-625","https://www.sciencedirect.com/journal/social-networks/issues","Volume 43","https://www.sciencedirect.com/journal/social-networks/vol/43/suppl/C","Editorial Board / Publication Information","https://www.sciencedirect.com/science/article/pii/S0378873315000568","null","Author links open overlay panel","Volume 43, October 2015, Page IFC","null"
"1551951648-557","https://www.sciencedirect.com/journal/social-networks/issues","Volume 39","https://www.sciencedirect.com/journal/social-networks/vol/39/suppl/C","The backbone of bipartite projections: Inferring relationships from co-authorship, co-sponsorship, co-attendance and other co-behaviors","https://www.sciencedirect.com/science/article/pii/S0378873314000343","The analysis and visualization of weighted networks pose many challenges, which have led to the development of techniques for extracting the network's backbone, a subgraph composed of only the most significant edges. Weighted edges are particularly common in bipartite projections (e.g. networks of co-authorship, co-attendance, co-sponsorship), which are often used as proxies for one-mode networks where direct measurement is impractical or impossible (e.g. networks of collaboration, friendship, alliance). However, extracting the backbone of bipartite projections requires special care. This paper reviews existing methods for extracting the backbone from bipartite projections, and proposes a new method that aims to overcome their limitations. The stochastic degree sequence model (SDSM) involves the construction of empirical edge weight distributions from random bipartite networks with stochastic marginals, and is demonstrated using data on bill sponsorship in the 108th U.S. Senate. The extracted backbone's validity as a network reflecting political alliances and antagonisms is established through comparisons with data on political party affiliations and political ideologies, which offer an empirical ground-truth. The projection and backbone extraction methods discussed in this paper can be performed using the -onemode- command in Stata.","Author links open overlay panelZacharyNeal","Volume 39, October 2014, Pages 84-97","KeywordsBill co-sponsorshipBinarizeDichotomizePolitical networkProjectionTwo-mode"
"1551952016-676","https://www.sciencedirect.com/journal/social-networks/issues","Volume 46","https://www.sciencedirect.com/journal/social-networks/vol/46/suppl/C","Detecting large cohesive subgroups with high clustering coefficients in social networks","https://www.sciencedirect.com/science/article/pii/S0378873316000022","Clique relaxations are used in classical models of cohesive subgroups in social network analysis. Clustering coefficient was introduced more recently as a structural feature characterizing small-world networks. Noting that cohesive subgroups tend to have high clustering coefficients, this paper introduces a new clique relaxation, α-cluster, defined by enforcing a lower bound α on the clustering coefficient in the corresponding induced subgraph. Two variations of the clustering coefficient are considered, namely, the local and global clustering coefficient. Certain structural properties of α-clusters are analyzed and mathematical optimization models for determining α-clusters of the largest size in a network are developed and validated using several real-life social networks. In addition, a network clustering algorithm based on local α-clusters is proposed and successfully tested.","Author links open overlay panelZeynepErtemaAlexanderVeremyevbSergiyButenkoa","Volume 46, July 2016, Pages 1-10","KeywordsCohesive subgroupsClustering coefficientClique relaxationsOptimization"
"1551952606-858","https://www.sciencedirect.com/journal/social-networks/issues","Volume 57","https://www.sciencedirect.com/journal/social-networks/vol/57/suppl/C","Exploring small-world network with an elite-clique: Bringing embeddedness theory into the dynamic evolution of a venture capital network","https://www.sciencedirect.com/science/article/pii/S0378873318302272","This paper uses a network dynamics model to explain the formation of a small-world network with an elite-clique. This network is a small-world network with an elite-clique at its center in which elites are also the centers of many small groups. These leaders also act as bridges between different small groups. Network dynamics are an important research topic due to their ability to explain the evolution of network structures. In this paper, a Chinese Venture Capital (VC) network was coded from joint investments between VC firms and then analyzed to uncover its network properties and factors that influence its evolution. We first built a random graph model to control for factors such as network scale, network growth, investment frequency and syndication tendency. Then we added a partner-selection mechanism and used two theories to analyze the formation of network structure: relational embeddedness and structural embeddedness. After that, we ran simulations and compared the three models with the actual Chinese VC network. To do this we computed the elite-clique’s EI index, degree distribution, clustering coefficient distribution and motifs. Results show that adding embeddedness theories significantly improved the network dynamic model’s predictive power, and help us uncover the mechanisms that affect the formation of a small-world industrial network with an elite-clique at its center.","Author links open overlay panelWeiweiGu1Jar-derLuo1JifanLiu2","Volume 57, May 2019, Pages 70-81","KeywordsVenture capital industryNetwork dynamicsEmbeddednessSyndication network"
"1551952187-729","https://www.sciencedirect.com/journal/social-networks/issues","Volume 50","https://www.sciencedirect.com/journal/social-networks/vol/50/suppl/C","Efficient Bayesian inference for exponential random graph models by correcting the pseudo-posterior distribution","https://www.sciencedirect.com/science/article/pii/S0378873315301489","Exponential random graph models are an important tool in the statistical analysis of data. However, Bayesian parameter estimation for these models is extremely challenging, since evaluation of the posterior distribution typically involves the calculation of an intractable normalizing constant. This barrier motivates the consideration of tractable approximations to the likelihood function, such as the pseudolikelihood function, which offers an approach to constructing such an approximation. Naive implementation of what we term a pseudo-posterior resulting from replacing the likelihood function in the posterior distribution by the pseudolikelihood is likely to give misleading inferences. We provide practical guidelines to correct a sample from such a pseudo-posterior distribution so that it is approximately distributed from the target posterior distribution and discuss the computational and statistical efficiency that result from this approach. We illustrate our methodology through the analysis of real-world graphs. Comparisons against the approximate exchange algorithm of Caimo and Friel (2011) are provided, followed by concluding remarks.","Author links open overlay panelLamprosBouranisNialFrielFlorianMaire","Volume 50, July 2017, Pages 98-108","KeywordsExponential random graph modelsIntractable normalizing constantsLarge networksLogistic regressionPseudolikelihoodTractable approximation"
"1551952455-814","https://www.sciencedirect.com/journal/social-networks/issues","Volume 54","https://www.sciencedirect.com/journal/social-networks/vol/54/suppl/C","Individuals’ power and their social network accuracy: A situated cognition perspective","https://www.sciencedirect.com/science/article/pii/S0378873316301538","Individuals differ in how accurately they perceive their social environment, but research and theory provide conflicting predictions on whether powerful people are more or less accurate than others. Drawing on social network theory and the situated cognition theory of power, we examine the relationship between individuals’ formal and informal power and their perceptual accuracy of social network relationships. We propose that individuals’ perceptual accuracy is related to: 1) their formal and informal power in the organization; 2) the type of relationship being perceived (positive/negative valence) and its relevance to task and goal completion; and 3) the dependence relationship with the target of perception (i.e., whether the perceiver is dependent on the perceived to get their work done). Predictions were tested using cognitive social structure data collected from a technical call center. Results showed that power was generally linked to increased perceptual accuracy, particularly for the types of relationships most relevant for task and goal completion. We further demonstrated that social network accuracy was related to employees’ outcomes, including subsequent transfer, promotion, and exit from the organization.","Author links open overlay panelJoshua E.MarineauaGiuseppe (Joe)LabiancabDaniel J.BrassbStephen P.BorgattibPatriziaVecchic","Volume 54, July 2018, Pages 145-161","KeywordsFormal and informal powerSocial network analysisNetwork perception and accuracyPositive and negative tiesSituated cognitionEmployee outcomes"
