web-scraper-order,web-scraper-start-url,issue,issue-href,article,article-href,title,author,abstract,keywords,publisher,issue_date
"1551255753-276","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/6/1","The role of money and finance: changing a central part of the problem into a central part of the solution","https://www.emeraldinsight.com/doi/full/10.1108/14636680410699124","The role of money and finance: changing a central part of the problem into a central part of the solution","James Robertson  (James Robertson is an independent futurist and writer. For more information, see www.jamesrobertson.com)","©James Robertson 2004","Schumacher's ideas and Illich's insights have yet to influence the mainstream. So why have institutions of society failed to adapt to their vision of a more people‐centred and ecological world? And, more importantly, what should we do about this now? This paper, taking government and the money system as a case study, outlines a possible answer to these questions.","Case study","Published: 2004, Start page: 6"
"1551255056-46","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/2/1","Towards the creative society: 21st century social dynamics","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636680010802492","Towards the creative society: 21st century social dynamics","Wolfgang Michalski  (Advisory Unit to the Secretary General of the OECD, 2 rue André‐Pascal, 75775 Paris Cedex 16, France)","The prospects for prosperity and well‐being in the 21st century will depend on leveraging social diversity to encourage technological, economic and social dynamism. A striking confluence of forces over the next twenty years could drive a twofold convergence: first, towards more highly differentiated and complex societies, and second, towards the adoption of a common set of general policy goals that are conducive to both diversity and social sustainability. In the opening decades of the 21st century four simultaneous and powerful societal transformations will give rise to more variety and interdependence: from the uniformity and obedience of the mass‐era to the uniqueness and creativity of a knowledge economy and society; from rigid and isolated command planning to flexible, open and rule‐based markets; from predominantly agricultural structures to industrial urbanization; and lastly, from a relatively fragmented world of autonomous societies and regions to the dense and indispensable interdependencies of an integrated planet. In different ways and in different parts of the world, greater social complexity will in all likelihood accompany these wrenching shifts. Rather than fear this increase in social diversity we should welcome the opportunities for learning and sharing that could bring prosperity and well‐being. Nevertheless, there are risks of heightened conflict due to the possible polarization that frequently accompanies the passing of old social orders and the emergence of new ones. Policy choices will be the determining factor in minimizing this friction and encouraging the potential synergies.","Technology, Creativity, Diversification","MCB UP Ltd","Published: 2000, Start page: 5"
"1551256115-400","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 3","https://www.emeraldinsight.com/toc/fs/8/3","The role of future ICT in city development","https://www.emeraldinsight.com/doi/full/10.1108/14636680610668036","The role of future ICT in city development","Ian Pearson  (Based at BT, Ipswich, UK.)","null","Communication technologies, Cities","Emerald Group Publishing Limited","Published: 2006, Start page: 3"
"1551256660-595","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 5","https://www.emeraldinsight.com/toc/fs/12/5","After the Car","https://www.emeraldinsight.com/doi/full/10.1108/14636681011075731","After the Car","Lee Lik Meng  (Universiti Sains Malaysia)","null","After the Car Kingsley Dennis and John Urry","UK","Published: 2010, Start page: 3"
"1551256458-521","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 2","https://www.emeraldinsight.com/toc/fs/11/2","Deciding on exit strategies: using foresight in problem resolution","https://www.emeraldinsight.com/doi/full/10.1108/14636680910950156","Deciding on exit strategies: using foresight in problem resolution","Jacques Richardson  (Member of foresight's editorial board)","Received: 9 September 2008Revised: 22 September 2008Accepted: 23 January 2009","Purpose – The purpose of this paper is to show, with concrete cases, how to forgo or substantially moderate strategy that is structured within action plans: moves to alleviate coping with obstacles encountered in programme execution.
Design/methodology/approach – The paper presents a series of real‐life examples of planned withdrawal – or not – from situations clearly uneconomic, unable to meet their original purposes, counterproductive, or otherwise a futile allocation of resources and effort.
Findings – The paper finds that studied protection can spell out beforehand, with foresight and determination (and often, due expression of trust), the success of an undertaking.
Research limitations/implications – Getting the future right often seems more difficult than getting it wrong.
Originality/value – Planners, strategists and designers should profit from the types of examples reviewed to confirm the solidity of their own procedural foresight.","Conceptual paper","Published: 2009, Start page: 3"
"1551256563-559","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 6","https://www.emeraldinsight.com/toc/fs/11/6","Morphological prospection: profiling the shapes of things to come","https://www.emeraldinsight.com/doi/full/10.1108/14636680911004939","Morphological prospection: profiling the shapes of things to come","Joseph Voros  (Faculty of Business and Enterprise, Swinburne University of Technology, Hawthorn, Australia)","Received: 29 June 2009Revised: 24 August 2009Accepted: 1 September 2009","Purpose – The purpose of this paper is two‐fold. First, to describe in detail a particular sub‐class of powerful prospective methods based on the method of “morphological analysis”. And second, to extend their use to create a basis for strengthening strategic analysis and policy development.
Design/methodology/approach – The paper examines the history and use of morphological methods in foresight work, and briefly describes three main “lineages” currently in use, and proposes some extensions to models of practice.
Findings – Recent research in cognitive psychology suggests that requiring a detailed and systematic examination of future possibilities before a decision is made leads to more effective assessments of futures. Morphological methods, by design and construction, are perfectly suited to this, and so can form an exceptionally strong basis for thinking systematically about the future.
Practical implications – The paper also describes how to go about designing a foresighting capacity based on a systematic evaluation of future systemic contexts, as well as discussing what aspects of the external environment to include in robust competitive intelligence, strategic monitoring, environmental scanning, and “horizon scanning” activities.
Originality/value – The paper proposes some extensions to existing practice and describes some ways to tie the development of a strategic meta‐language to clearly‐targeted intelligence scanning. This paper should be of interest to anyone involved in trying to strengthen strategy development, policy planning or intelligence analysis.","Research paper","Published: 2009, Start page: 4"
"1551255452-173","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 3","https://www.emeraldinsight.com/toc/fs/4/3","Conference calendar","https://www.emeraldinsight.com/doi/full/10.1108/fs.2002.27304cac.002","Conference calendar","null","null","Emerald Group Publishing Limited","null","Published: 2002, Start page: 4"
"1551256500-535","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 4","https://www.emeraldinsight.com/toc/fs/11/4","A new direction for foresight: introduction to “Foresight for smart globalization: accelerating and enhancing pro-poor development opportunities”","https://www.emeraldinsight.com/doi/full/10.1108/fs.2009.27311daa.002","A new direction for foresight: introduction to “Foresight for smart globalization: accelerating and enhancing pro-poor development opportunities”","Clement Bezold,","null","Emerald Group Publishing Limited","null","Published: 2009, Start page: 10"
"1551255314-125","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 4","https://www.emeraldinsight.com/toc/fs/3/4","Dovetailing peace: technological convergence in the defence and aerospace industries","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636680110803184","Dovetailing peace: technological convergence in the defence and aerospace industries","Jordi Molas‐Gallart  (SPRU, the Centre for Science and Technology Policy Research, University of Sussex, Brighton BN1 9RF, UK)","Military technology is traditionally shrouded in secrecy. Even joint research between allies can be a marriage of convenience. But with the end of the Cold War and greater European integration, the technological landscape is changing, and a closer interface is emerging between military and civilian technologies. A worldwide stagnation in defence spending is accelerating the take‐up of commercial off‐the‐shelf technologies, while in the aerospace sector, the factors of safety and the environment are becoming at least as important as cost.","Defence, Military, Technology","MCB UP Ltd","Published: 2001, Start page: 261"
"1551256688-606","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 6","https://www.emeraldinsight.com/toc/fs/12/6","Analysing the future of railway freight competition: a Delphi study in Finland","https://www.emeraldinsight.com/doi/full/10.1108/14636681011089961","Analysing the future of railway freight competition: a Delphi study in Finland","Miika Mäkitalo  (Rail Transport Director in the Rail Transport Department, Finnish Transport Agency, Helsinki, Finland)","Received: 3 September 2009 Revised: 16 February 2010 14 April 2010Accepted 15 April 2010","Purpose – The entire sector of railway transport is in a state of flux in Europe as deregulation and structural changes are affecting the traditional transport mode. Even though the aim has been to increase railway freight competition, markets have changed only slightly, and the market shares of incumbent railway companies are remaining high. Some EU countries have not attracted any new entrants, which is also the current situation in Finland. This paper aims to assess how the Finnish railway freight competition develops and to analyze different views on railway transport policy.
Design/methodology/approach – This research work analyses a Delphi questionnaire directed at 52 Finnish experts in this branch. Responses on the questionnaire were gathered during year 2005 (competition in Finland in railway freight started 2007) within two rounds with appropriate amount of response rate. Respondents were from the public and private sectors, actors working closely with railway transports and logistics. With an expert profiling matrix, three different railway transport policy viewpoint groups are identified, and character descriptions for these are constructed.
Findings – Based on a qualitative expert profiling analysis, it is argued that there exist three different argument types in Finnish railway transport policy. The authors have constructed character descriptions for each group based on material collected by the Delphi technique. They conclude that the policy definitions have followed the views of the moderate group and the realization of the deregulation process has been slow, even though a great amount of competition was expected.
Research limitations/implications – The research work is limited to the Finnish railway freight transport market, where development of competition on rails has been sluggish. To further confirm the used methodology, and the identified railway freight competition policy group types, the research work should be repeated in some other country, and particularly in an environment where competition has shown activity immediately after deregulation.
Originality/value – The research represents methodology to foresee the future development of deregulated industries, and especially in the transportation sector. The paper's approach can be used to divide stakeholders into groups and to make policy analysis. The problem with to‐be‐deregulated industry is often lack of competition, new actors and governmental actions, and therefore the used Delphi technique offers potential to gather empirical material before any activity has actually started in the observed industry.","Research paper","Published: 2010, Start page: 3"
"1551254899-3","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/1/1","Transforming the future: rethinking time for the new millennium","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802025","Transforming the future: rethinking time for the new millennium","Bill Martin  (Leisure Consultants, Lint Growis, Foxearth, Sudbury, Suffolk CO10 7JX, UK)","The next 25 years is likely to see a transformation of attitudes in the UK and other Western countries. This will affect the way we view economic growth and how the benefits of it are used. There will be much greater concern about the quality of time use, and about the way our lives are divided between free time and paid work. Using the example of the UK, this article highlights the reasons why the conventional view of the future is not sustainable, and discusses the actions needed if the required transformation of the future is to be achieved.","Economic growth, Time management, Leisure","MCB UP Ltd","Published: 1999, Start page: 5"
"1551256147-410","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 5","https://www.emeraldinsight.com/toc/fs/8/5","Futures studies and public decision making in Sweden","https://www.emeraldinsight.com/doi/full/10.1108/14636680610703090","Futures studies and public decision making in Sweden","Sandrine Paillard  (Project manager, “ALEPH” Task Force, Commissariat général du Plan, Paris, France.)","This article is based on a series of interviews conducted in Sweden in December 2003. The key figures met were Elisabeth Backteman and Björn Andersson, advisers to the Prime Minister, Tibor Hottovy retired from the National Swedish Institute for Building Research, Assar Lindbeck, professor of economics at the university of Stockholm and chairman of the Commission on the future of Sweden (1992‐1993), Enrico Deiaco, director of SISTER and steering committee member of the first technology foresight project (1999‐2000), Joakim Palme, director of the Institute for Futures Studies. The Plan, and ALEPH in particular, would like to thank them warmly for their welcome and the very productive interviews.","Purpose – This paper seeks to explore the interrelationships between futures studies and public decision making in Sweden.
Design/methodology/approach – Based on a series of interviews conducted in Stockholm in December 2003, this paper presents the main players involved in futures studies in Sweden. It focuses especially on the activities of the Institute for Futures Studies, and that of the Lindbeck Commission on the Future of Sweden.
Findings – Futures studies are a decisive part of the public decision process in Sweden, where they appeared after the Second World War and gained momentum from the 1970s onwards. The paper gives a detailed account of the interplay between the various actors. There is a strong independence between the public decision‐making system and the producers of futures studies. Nevertheless, futures studies prove an important instrument for public policy in Sweden, as they raise awareness in the public debate, serve as a tool for consultation, and help define scientific and technological priorities.
Originality/value – Provides an insight into the state of futures research in Sweden.","General review","Published: 2006, Start page: 3"
"1551255245-102","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/3/1","Marching to the same beat: defence and the future of Europe","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636680110802969","Marching to the same beat: defence and the future of Europe","Jacques G. Richardson  (91410 Authon la Plaine, Cidex 400, France)","Moves to create a single European defence force come as the region embarks on a new phase of enlargement. So does this represent the ultimate challenge for federalism? And if so, could it kick‐start cooperation in other areas of mutual protection such as food safety and the environment?","Defence, Armed forces, Europe","MCB UP Ltd","Published: 2001, Start page: 5"
"1551256386-492","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 5","https://www.emeraldinsight.com/toc/fs/10/5","The Handbook of Technology Foresight: Concepts and Practice","https://www.emeraldinsight.com/doi/full/10.1108/14636680810918522","The Handbook of Technology Foresight: Concepts and Practice","Simon Forge  (SCF Associates, Princes Risborough, UK)","null","The Handbook of Technology Foresight: Concepts and Practice Edited by Luke Georghiou, Jennfer Cassingena Harper, Michael Keenan, Ian Miles, and Rafael Popper","Cheltenham, UK","Published: 2008, Start page: 3"
"1551254999-32","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 5","https://www.emeraldinsight.com/toc/fs/1/5","Future employment and ageism in Britain","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802322","Future employment and ageism in Britain","Séan Rickard  (Cranfield University School of Management, Cranfield, Bedfordshire MK43 0AL, UK)","In common with all developed countries, the population of Britain is ageing. Much has been written about the impact demographic change will have on our societies in the first part of the next century. An ageing population brings problems for health care, pensions and particularly the labour market. With fewer younger people coming into the labour market, increasing the participation rate of older people in the workforce is a high priority. This paper argues that, unless there is a change in attitudes on the part of employers towards the employment of older workers the achievement of full employment will be accompanied by rising numbers of men aged 50 and above who are not working. In consequence the Gross Domestic Product will be lower than it would otherwise be and intergenerational transfers between those in work and those aged 50 and above would continue to be substantial.","Age discrimination, Employment, Health care","MCB UP Ltd","Published: 1999, Start page: 389"
"1551256794-645","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 5","https://www.emeraldinsight.com/toc/fs/13/5","The heterogeneity of incumbents' perceptions and response strategies in the face of potential disruptions","https://www.emeraldinsight.com/doi/full/10.1108/14636681111170194","The heterogeneity of incumbents' perceptions and response strategies in the face of potential disruptions","Farsan Madjdi  (Freelancer, based in München, Germany)","null","Forecasting, Communication technologies, Innovation, Technology‐led strategy, Mobile communication systems, Strategic management","Emerald Group Publishing Limited","Published: 2011, Start page: 4"
"1551256697-609","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/13/1","Starting the 13th year of foresight","https://www.emeraldinsight.com/doi/full/10.1108/fs.2011.27313aaa.002","Starting the 13th year of foresight","null","null","Emerald Group Publishing Limited","null","Published: 2011, Start page: 5"
"1551255459-176","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 3","https://www.emeraldinsight.com/toc/fs/4/3","The Internet, knowledge and the academy","https://www.emeraldinsight.com/doi/full/10.1108/14636680210439016","The Internet, knowledge and the academy","Tom P. Abeles  (Tom P. Abeles is President, Sagacity, Inc., Minneapolis, Minnesota, USA.)","As knowledge is released from the bounds of libraries, as research becomes no longer confined to The academy, and education/certification is available, any time/any place, the university and the faculty must redefine themselves. Liberal studies, once the core, and currently eschewed in favor of science and technology, will be reborn in those institutions that can rise above the mundane and embrace an emerging “third culture”.","Universities, Research, Education, Teaching, Finance, Economics","MCB UP Ltd","Published: 2002, Start page: 4"
"1551257086-749","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 2","https://www.emeraldinsight.com/toc/fs/16/2","International migration by 2030: impact of immigration policies scenarios on growth and employment","https://www.emeraldinsight.com/doi/full/10.1108/FS-06-2012-0045","International migration by 2030: impact of immigration policies scenarios on growth and employment","Duwicquet V.   (Centre lillois d'études et de recherches sociologiques et économiques (Clersé-CNRS), Lille 1 University, Lille, France)","JEL classification – F22, J6, R23We wish to express our thanks to the members of the AUGUR Project for their contribution to our thinking on these matters in the AUGUR workshops in Paris and Brussels. The products of the AUGUR project, Challenges for Europe in the world in 2030, Report EU FP7, are available at www.AUGUR.fr","Replacement migration, Forecast, Migration regimes, Immigration policy, Mass migration, Transit countries","JEL classification – F22, J6, R23We wish to express our thanks to the members of the AUGUR Project for their contribution to our thinking on these matters in the AUGUR workshops in Paris and Brussels. The products of the AUGUR project, Challenges for Europe in the world in 2030, Report EU FP7, are available at www.AUGUR.fr","Published: 2014, Start page: 95"
"1551256273-452","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 4","https://www.emeraldinsight.com/toc/fs/9/4","Powering down: remedies for unsustainable ICT","https://www.emeraldinsight.com/doi/full/10.1108/14636680710773795","Powering down: remedies for unsustainable ICT","Simon Forge  (Director of SCF Associates Ltd, Princes Risborough, UK.)","null","Climatology, Economic sustainability, Energy consumption, Computer software, Communication technologies","Emerald Group Publishing Limited","Published: 2007, Start page: 3"
"1551257681-953","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 6","https://www.emeraldinsight.com/toc/fs/20/6","The use of open government data to citizen empowerment: an empirical validation of a proposed model","https://www.emeraldinsight.com/doi/full/10.1108/FS-03-2018-0027","The use of open government data to citizen empowerment: an empirical validation of a proposed model","Md Nahin Hossain ,  (School of Management, Huazhong University of Science and Technology, Wuhan, China)","null","Bangladesh","Emerald Publishing Limited","Published: 2018, Start page: 589"
"1551257188-781","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/17/1","Everything Connects: How to Transform and Lead in the Age of Creativity, Innovation and Sustainability","https://www.emeraldinsight.com/doi/full/10.1108/FS-12-2014-0083","Everything Connects: How to Transform and Lead in the Age of Creativity, Innovation and Sustainability","Maya Zhukovskaya  (Maya Zhukovskaya is based at Higher School of Economics, Moscow, Russian Federation.)","null","Everything Connects: How to Transform and Lead in the Age of Creativity, Innovation and Sustainability By Faisal Hoque and Drake Baer","2014","Published: 2015, Start page: 1"
"1551255939-342","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 2","https://www.emeraldinsight.com/toc/fs/7/2","The futures agenda of the future CEO","https://www.emeraldinsight.com/doi/full/10.1108/14636680510590790","The futures agenda of the future CEO","Irving H. Buchen  (Irving Buchen is Professor of Management at IMPAC University, Punta Gorda, FL, USA)","null","Futures markets, Leadership, Education, Professional education, Training","Emerald Group Publishing Limited","Published: 2005, Start page: 3"
"1551254914-8","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 2","https://www.emeraldinsight.com/toc/fs/1/2","Energy in the 21st Century: the return of geopolitics?","https://www.emeraldinsight.com/doi/pdfplus/10.1108/14636689910802133","Energy in the 21st Century: the return of geopolitics?","Patrick Love  (OECD International Futures Programme, 2 rue André‐Pascal, 75775 Paris Cedex 16, France)","With oil prices hovering around historically low levels, it would be comforting to think that energy shocks are a thing of the past. However, energy markets have never been driven by economic factors alone: technology, policy and international relations all have to be taken into account.","Energy management, Technology, Fuel","MCB UP Ltd","Published: 1999, Start page: 117"
"1551255384-148","https://www.emeraldinsight.com/loi/fs?expanded=v1&expanded=v2097&expanded=v16","Issue 1","https://www.emeraldinsight.com/toc/fs/4/1","An Introduction to Cybercultures","https://www.emeraldinsight.com/doi/full/10.1108/fs.2002.4.1.44.2","An Introduction to Cybercultures","Melanie Chan  (Centre for Research and Graduate Studies,  Leeds Metropolitan University, Leeds, UK)","null","An Introduction to Cybercultures David Bell","London","Published: 2002, Start page: 4"
