"","word1","word2","n"
"153","global","economy",3
"154","global","food",3
"155","global","warming",3
"156","gratefully","acknowledged",3
"157","gratefully","acknowledges",3
"158","gross","domestic",3
"159","hankuk","university",3
"160","home","environment",3
"161","human","development",3
"162","human","genome",3
"163","industrial","ecology",3
"164","innovation","futures",3
"165","insightful","comments",3
"166","international","center",3
"167","international","cooperation",3
"168","international","license",3
"169","international","relations",3
"170","liberal","international",3
"171","local","level",3
"172","low","cost",3
"173","management","model",3
"174","modern","representative",3
"175","national","natural",3
"176","natural","science",3
"177","noncommercial","noderivs",3
"178","nuclear","power",3
"179","organisational","change",3
"180","organization","sciences",3
"181","pacific","region",3
"182","partially","supported",3
"183","person","acting",3
"184","peter","hayward",3
"185","policy","actions",3
"186","policy","issues",3
"187","power","generation",3
"188","project","nodes",3
"189","real","estate",3
"190","recent","national",3
"191","rights","reserved",3
"192","scenario","based",3
"193","scenario","planning",3
"194","scenario","workshops",3
"195","science","fiction",3
"196","science","sports",3
"197","shaping","genomics",3
"198","short","term",3
"199","social","dynamism",3
"200","social","policy",3
"201","social","sustainability",3
"202","strategic","planning",3
"203","technologies","icts",3
"204","tele","economy",3
"205","time","frame",3
"206","transformative","scenarios",3
"207","usual","disclaimers",3
"208","visit","http",3
"209","wide","range",3
"210","woodrow","wilson",3
"211","world","war",3
"212","20016","usa",2
"213","202","686",2
"214","4421","garrison",2
"215","686","5179",2
"216","92","79",2
"217","978","92",2
"218","aarum","andersen",2
"219","ac","unu",2
"220","active","participation",2
"221","activity","projected",2
"222","acunu","igc.org",2
"223","age","60",2
"224","agro","food",2
"225","alternative","future",2
"226","alternative","scenario",2
"227","alternative","sources",2
"228","andersen","linnaeus",2
"229","annual","conference",2
"230","anticipatory","systems",2
"231","apec","center",2
"232","article","compares",2
"233","article","discusses",2
"234","article","explores",2
"235","article","reflects",2
"236","article","reports",2
"237","artificial","intelligence",2
"238","blind","peer",2
"239","brain","machine",2
"240","broad","survey",2
"241","business","activity",2
"242","business","leaders",2
"243","business","leadership",2
"244","business","planning",2
"245","capacities","call",2
"246","causal","layered",2
"247","century","ago",2
"248","challenges","facing",2
"249","change","initiatives",2
"250","change","management",2
"251","citizens","communication",2
"252","civil","society",2
"253","clean","technologies",2
"254","cluster","policy",2
"255","colin","blackman",2
"256","commercial","exploitation",2
"257","commodified","world",2
"258","common","understanding",2
"259","community","debate",2
"260","competing","financial",2
"261","competitive","advantage",2
"262","completely","separate",2
"263","conceptual","framework",2
"264","conference","participants",2
"265","constructive","comments",2
"266","constructive","feedback",2
"267","control","investments",2
"268","corporate","social",2
"269","cross","level",2
"270","cultural","diversity",2
"271","culture","mext",2
"272","czech","republic",2
"273","danish","ministry",2
"274","dc","20016",2
"275","december","2007accepted",2
"276","demographic","trends",2
"277","denis","loveridge",2
"278","dennis","morgan",2
"279","design","thinking",2
"280","developing","economies",2
"281","developing","world",2
"282","development","agency",2
"283","development","organization",2
"284","deviation","fetishism",2
"285","dg","information",2
"286","digital","economy",2
"287","digital","information",2
"288","direct","democracy",2
"289","double","blind",2
"290","drivers","shaping",2
"291","driving","forces",2
"292","earlier","draft",2
"293","earlier","versions",2
"294","east","asian",2
"295","ecological","modernization",2
"296","economic","integration",2
"297","economic","modelling",2
"298","electronic","capitalism",2
"299","electronic","trading",2
"300","emerging","technologies",2
"301","energy","efficiency",2
"302","energy","industry",2
"303","energy","sector",2
"304","energy","supply",2
"305","entertainment","services",2
"306","environmental","aspects",2
"307","environmental","concerns",2
"308","environmental","policies",2
"309","environmental","sustainability",2
"310","essential","feedback",2
"311","eu","programme",2
"312","europe’s","politicians",2
"313","executive","director",2
"314","federal","agencies",2
"315","financial","reporting",2
"316","finland","futures",2
"317","fission","power",2
"318","food","security",2
"319","foresight","activities",2
"320","foresight","examines",2
"321","foresight","project",2
"322","fossil","fuels",2
"323","fundamental","studies",2
"324","future","challenges",2
"325","future","developments",2
"326","future","drug",2
"327","future","issues",2
"328","future","oriented",2
"329","future","perceptions",2
"330","future","policies",2
"331","future","proofing",2
"332","future","published",2
"333","future","role",2
"334","future","society",2
"335","garrison","street",2
"336","generous","support",2
"337","genetic","testing",2
"338","genetically","modified",2
"339","geographic","data",2
"340","global","business",2
"341","global","capitalism",2
"342","global","change",2
"343","global","economic",2
"344","global","financial",2
"345","global","information",2
"346","global","market",2
"347","global","population",2
"348","global","trade",2
"349","government","office",2
"350","government","planning",2
"351","graduate","school",2
"352","grant","70639002",2
"353","guru","programme",2
"354","health","services",2
"355","helpful","suggestions",2
"356","highlighting","major",2
"357","human","capital",2
"358","human","genetics",2
"359","human","health",2
"360","human","society",2
"361","human","values",2
"362","ian","miles",2
"363","ii","highlighting",2
"364","impending","waves",2
"365","increasing","proportion",2
"366","increasingly","global",2
"367","industrial","age",2
"368","industrial","society",2
"369","industrialized","countries",2
"370","informal","education",2
"371","information","based",2
"372","information","communication",2
"373","information","content",2
"374","information","infrastructure",2
"375","information","revolution",2
"376","information","systems",2
"377","institutional","issues",2
"378","insurance","industry",2
"379","integrated","foresight",2
"380","iot","technologies",2
"381","january","2008accepted",2
"382","january","2008revised",2
"383","jel","classification",2
"384","jon","aarum",2
"385","joshua","floyd",2
"386","journal","operates",2
"387","knowledge","management",2
"388","knowledge","sharing",2
"389","knowledge","society",2
"390","knowledge","transfer",2
"391","knowledge","translation",2
"392","labour","market",2
"393","layered","analysis",2
"394","level","analysis",2
"395","linnaeus","university",2
"396","livia","chng",2
"397","macro","level",2
"398","main","technological",2
"399","main","trends",2
"400","mainstream","science",2
"401","major","regulatory",2
"402","major","trends",2
"403","management","thinking",2
"404","maree","conway",2
"405","market","economy",2
"406","market","scenarios",2
"407","material","technologies",2
"408","mext","grant",2
"409","military","planning",2
"410","millennium","project’s",2
"411","million","people",2
"412","modern","life",2
"413","modified","organisms",2
"414","monetary","market",2
"415","ms","livia",2
"416","national","security",2
"417","national","technology",2
"418","natural","resources",2
"419","necessarily","represent",2
"420","nedo","grant",2
"421","nineteenth","century",2
"422","nru","hse",2
"423","nuclear","fission",2
"424","nuclear","weapons",2
"425","nw","washington",2
"426","oil","crisis",2
"427","oil","prices",2
"428","oil","producing",2
"429","omani","banks",2
"430","organization","nedo",2
"431","organizational","futurists",2
"432","oriented","technology",2
"433","ozcan","saritas",2
"434","pascal","petit",2
"435","peer","review",2
"436","personal","future",2
"437","planning","control",2
"438","policy","development",2
"439","policy","rationalities",2
"440","portland","international",2
"441","preferred","image",2
"442","prevalent","cultures",2
"443","previous","generations",2
"444","producing","countries",2
"445","product","concepts",2
"446","productivity","gains",2
"447","professional","futurists",2
"448","programme","capacities",2
"449","project","ac",2
"450","project","partners",2
"451","prospective","technological",2
"452","provide","feedback",2
"453","public","concern",2
"454","public","sector",2
"455","radar","project",2
"456","radically","changing",2
"457","recent","foresight",2
"458","regional","development",2
"459","regional","economic",2
"460","regional","planning",2
"461","responsible","leadership",2
"462","review","process",2
"463","risk","management",2
"464","san","francisco",2
"465","scenario","workshop",2
"466","scf","associates",2
"467","school","curricula",2
"468","science","base",2
"469","security","norway",2
"470","seventh","framework",2
"471","sharing","platform",2
"472","skill","set",2
"473","social","change",2
"474","social","context",2
"475","social","diversity",2
"476","social","inequality",2
"477","social","science",2
"478","social","transformations",2
"479","social","values",2
"480","socially","responsible",2
"481","solar","age",2
"482","sole","responsibility",2
"483","steering","committee",2
"484","street","nw",2
"485","studies","ipts",2
"486","studies","techniques",2
"487","study","analyses",2
"488","sustainable","future",2
"489","sustainable","human",2
"490","sustainable","information",2
"491","sustainable","transport",2
"492","task","ahead",2
"493","technological","economic",2
"494","technological","forecasting",2
"495","technological","innovation",2
"496","technological","innovations",2
"497","technological","studies",2
"498","technology","analysis",2
"499","technology","framework",2
"500","technology","policy",2
"501","term","strategy",2
"502","terror","attacks",2
"503","thinking","expressed",2
"504","tugrul","daim",2
"505","turku","foundation",2
"506","uk","government",2
"507","university","copies",2
"508","university","hse",2
"509","university","sweden",2
"510","unu","4421",2
"511","urban","structures",2
"512","urban","villages",2
"513","valuable","contributions",2
"514","virtual","learning",2
"515","warning","processes",2
"516","washington","dc",2
"517","wealth","distribution",2
"518","wild","card",2
"519","wilson","center",2
"520","wilson","international",2
"521","win","win",2
"522","workforce","strategies",2
"523","world","governance",2
"524","world","stands",2
"525","world","system",2
"526","yale","review",2
"527","00","51",1
"528","000","genes",1
"529","0005","project",1
"530","02","financed",1
"531","0243755","00",1
"532","048539","entitled",1
"533","09d47001a","yk",1
"534","1,010","subjects",1
"535","11th","grades",1
"536","1355","00110b",1
"537","140","000",1
"538","1907","1990",1
"539","1930","john",1
"540","1986","pp",1
"541","2.0","implications",1
"542","2008this","article",1
"543","2009financial","support",1
"544","2025","www.vtt.fi",1
"545","2040","ian",1
"546","20th","century",1
"547","2108","project",1
"548","21700266","received",1
"549","269","november",1
"550","39054877","sci",1
"551","400","households",1
"552","49","0,3343",1
"553","50th","anniversary",1
"554","550","futurists",1
"555","564","86",1
"556","56th","annual",1
"557","5th","framework",1
"558","70639002","funding",1
"559","70639002","received",1
"560","73","million",1
"561","75","trillion",1
"562","79","48364",1
"563","79","48365",1
"564","7th","annual",1
"565","7th","framework",1
"566","800","million",1
"567","97","101",1
"568","9th","10th",1
"569","aachen","university",1
"570","aaron","tsai",1
"571","abdul","kalam",1
"572","abidin","sanusi",1
"573","abroad","foundation",1
"574","abrupt","lines",1
"575","abundance","radical",1
"576","abundant","energy",1
"577","academic","debate",1
"578","academic","disciplines",1
"579","academic","human",1
"580","academic","network",1
"581","academic","stimulus",1
"582","academic","study",1
"583","academic","success",1
"584","academic","world",1
"585","accelerated","globalization",1
"586","accepting","responsibility",1
"587","access","reduced",1
"588","accession","countries",1
"589","accomplishment","embarking",1
"590","accountability","increased",1
"591","accountable","risk",1
"592","accounting","language",1
"593","accounting","methods",1
"594","accounting","standards",1
"595","accumulation","national",1
"596","accurate","forecasts",1
"597","accurate","response",1
"598","accusations","hit",1
"599","achieve","desired",1
"600","achieve","environmental",1
"601","achieve","food",1
"602","achieve","identified",1
"603","achieve","internal",1
"604","achieve","sustainable",1
"605","achieving","balance",1
"606","achieving","economic",1
"607","achieving","norms",1
"608","achieving","organic",1
"609","acknowledge","efforts",1
"610","acknowledge","funding",1
"611","acknowledge","richard",1
"612","acknowledge","support",1
"613","acknowledge","universiti",1
"614","acknowledgements","rahs",1
"615","acquire","multiple",1
"616","acting","secretary",1
"617","action","00724",1
"618","action","provided",1
"619","actions","dealing",1
"620","active","experimentation",1
"621","active","public",1
"622","activities","life",1
"623","activity","businesses",1
"624","activity","iarpa",1
"625","actors","shaping",1
"626","actvod","method",1
"627","actvod","workshops",1
"628","adaptable","networking",1
"629","adaptation","previously",1
"630","adaptation","strategy",1
"631","adapted","revised",1
"632","adapted","routines",1
"633","adaptive","organizations",1
"634","added","reasons",1
"635","addicts","living",1
"636","additional","pathway",1
"637","additional","questions",1
"638","additionally","considered",1
"639","addresses","noted",1
"640","addresses","public",1
"641","adequate","diet",1
"642","adequately","comprehend",1
"643","adil","najam",1
"644","administration","based",1
"645","administration","pa",1
"646","administrative","structures",1
"647","adroitly","manipulating",1
"648","advance","democracy",1
"649","advanced","groupware",1
"650","advanced","guard",1
"651","advanced","management",1
"652","advanced","nations",1
"653","advanced","telecommunications",1
"654","advanced","understanding",1
"655","adventure","seeking",1
"656","advice","usual",1
"657","aerospace","sector",1
"658","affect","business",1
"659","affect","developed",1
"660","affect","individuals",1
"661","affecting","energy",1
"662","affecting","futurists",1
"663","africa’s","tunisia",1
"664","african","economic",1
"665","african's","perspective",1
"666","age","keynesian",1
"667","age","proximity",1
"668","ageing","global",1
"669","ageing","perspective",1
"670","ageing","population",1
"671","agencies","participated",1
"672","agenda","change",1
"673","ages","based",1
"674","aging","tool",1
"675","ago","military",1
"676","agree","international",1
"677","agreement","262931",1
"678","agri","food",1
"679","agricultural","battlefield",1
"680","agricultural","biotechnology",1
"681","agricultural","structures",1
"682","agriculture","foa",1
"683","agriculture","sector",1
"684","ahead","conversation",1
"685","ahead","success",1
"686","ahlqvist","wishes",1
"687","ai","component",1
"688","aid","package",1
"689","aid","policy",1
"690","aided","forces",1
"691","air","force",1
"692","alain","bergeron",1
"693","alan","porter",1
"694","albert","ludwigs",1
"695","alchemist’s","wildest",1
"696","alexander","francis",1
"697","alfa","funded",1
"698","aligned","mutually",1
"699","alizadeh","farrokhi",1
"700","allen’s","observation",1
"701","allowing","doctors",1
"702","alpbach","european",1
"703","alpbach’s","evenings",1
"704","alpine","valley",1
"705","alter","consumer",1
"706","alternative","ideas",1
"707","alternative","path",1
"708","alternative","strategies",1
"709","alternative","strategy",1
"710","alternative","systems",1
"711","alternatives","characteristics",1
"712","ambitious","agenda",1
"713","america’s","current",1
"714","america’s","economy",1
"715","american","futures",1
"716","analyses","citizens",1
"717","analyses","conditions",1
"718","analyses","prove",1
"719","analysis","develops",1
"720","analysis","fta",1
"721","analysis","involves",1
"722","analysis","methods",1
"723","analytical","tool",1
"724","ananish","chaudhuri",1
"725","anchor","hypothesis",1
"726","andersson","advisers",1
"727","andreas","geiss",1
"728","angela","barbanente",1
"729","angela","wilkinson",1
"730","anglo","saxon",1
"731","animal","welfare",1
"732","anne","rasmussen",1
"733","annele","eerola",1
"734","annual","edition",1
"735","annual","international",1
"736","annual","seminars",1
"737","anonymous","reviews",1
"738","anti","corruption",1
"739","anticipated","properly",1
"740","anticipatory","governance",1
"741","anticipatory","leader",1
"742","anticipatory","management",1
"743","antinomic","insights",1
"744","apec","central",1
"745","apec","megacities",1
"746","apec","region",1
"747","apf","recently",1
"748","applauding","universal",1
"749","application","depend",1
"750","applications","finally",1
"751","applications","forecasts",1
"752","applied","internationally",1
"753","approach","accounting",1
"754","approach","examines",1
"755","approach","suggesting",1
"756","approaches","ageing",1
"757","approaches","applied",1
"758","approaches","depth",1
"759","appropriately","worldly",1
"760","apulia","region",1
"761","arcane","purpose",1
"762","arms","control",1
"763","arno","kourula",1
"764","article","adopts",1
"765","article","analyses",1
"766","article","approaches",1
"767","article","argues",1
"768","article","asserts",1
"769","article","assesses",1
"770","article","builds",1
"771","article","confronts",1
"772","article","defines",1
"773","article","includes",1
"774","article","introduces",1
"775","article","michel",1
"776","article","postulates",1
"777","article","project",1
"778","article","proposes",1
"779","article","refutes",1
"780","article","relates",1
"781","article","represent",1
"782","article","revisits",1
"783","article","seeks",1
"784","article","sets",1
"785","article","summarizes",1
"786","article","traces",1
"787","articulate","behaviour",1
"788","arts","round",1
"789","asean","publicly",1
"790","asian","appreciation",1
"791","asian","currency",1
"792","asian","economies",1
"793","asian","entities",1
"794","asian","values",1
"795","asis","warns",1
"796","aspirations","demands",1
"797","aspirations","expressed",1
"798","aspirations","outlined",1
"799","assar","lindbeck",1
"800","assess","current",1
"801","assess","preferences",1
"802","assess","risks",1
"803","assessing","trends",1
"804","assets","wealth",1
"805","assist","critical",1
"806","assistance","provided",1
"807","association","ensured",1
"808","assure","validity",1
"809","atlantic","community's",1
"810","atomic","levels",1
"811","atomic","matter",1
"812","attacks","relying",1
"813","attract","external",1
"814","attractive","pull",1
"815","auckland","oleg",1
"816","australasia","conference",1
"817","australia","cmvh",1
"818","australian","center",1
"819","australian","corporation",1
"820","australian","women",1
"821","author's","essay",1
"822","author's","richard",1
"823","author's","role",1
"824","authors","argued",1
"825","authors","contrast",1
"826","authors","contributed",1
"827","authors","contributions",1
"828","authors","devise",1
"829","authors","express",1
"830","authors","hassan",1
"831","authors","managing",1
"832","authors","ns",1
"833","authors","perform",1
"834","authors","practical",1
"835","authors","received",1
"836","authors","report",1
"837","authors","thinking",1
"838","automobile","industry",1
"839","autonomous","societies",1
"840","averil","horton",1
"841","aviv","university",1
"842","avoiding","future",1
"843","await","economic",1
"844","baby","boom",1
"845","background","inputs",1
"846","background","reading",1
"847","balanced","approach",1
"848","balances","economic",1
"849","bangladesh","enterprise",1
"850","bank","bt",1
"851","bankers","association",1
"852","barclay","stevenson",1
"853","barclays","bank",1
"854","barter","system",1
"855","bártolo","ipe",1
"856","base","increasingly",1
"857","base","pairs",1
"858","based","assets",1
"859","based","communities",1
"860","based","electronic",1
"861","based","future",1
"862","based","information",1
"863","based","management",1
"864","based","markets",1
"865","based","operations",1
"866","based","society",1
"867","based","wars",1
"868","basic","conceptions",1
"869","basic","economic",1
"870","basic","nature",1
"871","basic","necessities",1
"872","basic","policy",1
"873","basic","principles",1
"874","basis","respondents",1
"875","basis","samples",1
"876","bayer","materialscience",1
"877","becker","marc",1
"878","bed","modular",1
"879","begrudge","paying",1
"880","behaviour","norms",1
"881","behaviour","standards",1
"882","behaviours","laid",1
"883","beijing","municipality",1
"884","ben","hammouda",1
"885","ben","zissimos",1
"886","benchmarking","analysis",1
"887","benchmarking","framework",1
"888","benchmarking","impacts",1
"889","benefits","requires",1
"890","benefits","sufficiently",1
"891","bergeron","acting",1
"892","berlin","efp",1
"893","berlin","wall",1
"894","bernard","clements",1
"895","berol","robinson",1
"896","bête","noir",1
"897","billion","dollars",1
"898","billion","molecular",1
"899","bio","chemistry",1
"900","bio","technology",1
"901","biological","environments",1
"902","biological","process",1
"903","biology","creates",1
"904","bit","split",1
"905","bitstream","jrc94867",1
"906","björn","andersson",1
"907","blackman","wondered",1
"908","blank","page",1
"909","blavatnik","interdisciplinary",1
"910","board","served",1
"911","board","sis",1
"912","bobby","banerjee",1
"913","boom","contingent",1
"914","boom","generation",1
"915","boosting","people's",1
"916","boston","university",1
"917","brain","conditioned",1
"918","brain’s","development",1
"919","breeding","crops",1
"920","briefly","discussed",1
"921","briefly","outlined",1
"922","brighter","future",1
"923","brighton","uk",1
"924","bring","fresh",1
"925","bring","prosperity",1
"926","brings","threats",1
"927","brisbane","australia",1
"928","british","cities",1
"929","british","empire",1
"930","broad","context",1
"931","broad","range",1
"932","broad","scope",1
"933","broadened","scanning",1
"934","broadened","special",1
"935","broader","scanning",1
"936","broader","skill",1
"937","broader","social",1
"938","broken","promises",1
"939","broker","function",1
"940","brought","food",1
"941","brought","opec",1
"942","bsab","920",1
"943","bt","laboratories",1
"944","bte","ithnin",1
"945","build","consensus",1
"946","build","personal",1
"947","building","construction",1
"948","building","disaster",1
"949","building","explicit",1
"950","building","material",1
"951","builds","social",1
"952","bulgarian","ministry",1
"953","bulletin","vol",1
"954","bureaucratic","institutions",1
"955","burgeoning","power",1
"956","business","communication",1
"957","business","concerns",1
"958","business","decisions",1
"959","business","government",1
"960","business","ideas",1
"961","business","leader",1
"962","business","link",1
"963","business","network",1
"964","business","operates",1
"965","business","organisational",1
"966","business","organisations",1
"967","business","organizations",1
"968","business","planners",1
"969","business","situation",1
"970","business","socially",1
"971","business","support",1
"972","business","trends",1
"973","business","unit",1
"974","businesses","communities",1
"975","businesses","providing",1
"976","busy","daytime",1
"977","butler","gregory",1
"978","california","berkeley",1
"979","california","usa",1
"980","called","shaping",1
"981","called","visionary",1
"982","cambridge","university",1
"983","canada","university",1
"984","canadian","institutes",1
"985","canadian","programs",1
"986","capability","deficits",1
"987","capita","income",1
"988","capital","based",1
"989","capital","expanding",1
"990","capital","flows",1
"991","capital","investment",1
"992","capital","markets",1
"993","capital","recognises",1
"994","capital","science",1
"995","capitalism","considered",1
"996","capitalism","driving",1
"997","capitalist","firms",1
"998","caracas","summit",1
"999","card","scenario",1
"1000","card","scenarios",1
"1001","cardiff","university",1
"1002","care","agricultural",1
"1003","care","pensions",1
"1004","career","development",1
"1005","career","paths",1
"1006","careful","rebuilding",1
"1007","careful","review",1
"1008","carefully","implemented",1
"1009","cartographic","data",1
"1010","cass","london",1
"1011","catherine","currat",1
"1012","causal","interactions",1
"1013","causal","linkages",1
"1014","causing","specific",1
"1015","ccuipp","nsfc",1
"1016","cd","section",1
"1017","ce","0243755",1
"1018","celebrations","marking",1
"1019","cellule","prospective",1
"1020","center","boston",1
"1021","center","national",1
"1022","center","university",1
"1023","central","committee",1
"1024","central","fund",1
"1025","central","government",1
"1026","centrally","organized",1
"1027","centre","ffrc",1
"1028","centre’s","head",1
"1029","centres","te",1
"1030","centuries","environmental",1
"1031","century","abundant",1
"1032","century","confidence",1
"1033","century","conflicts",1
"1034","century","include",1
"1035","century","opportunities",1
"1036","century","peace",1
"1037","century","plans",1
"1038","century","resistance",1
"1039","century","studies",1
"1040","century","usa",1
"1041","century’s","time",1
"1042","ceo","clickdiagnostics",1
"1043","certification","systems",1
"1044","cetim","robosoft",1
"1045","challenge","companies",1
"1046","challenge","facing",1
"1047","challenges","brought",1
"1048","challenges","common",1
"1049","challenges","opinions",1
"1050","challenges","san",1
"1051","challenges","specifically",1
"1052","challenging","administrative",1
"1053","challenging","discussions",1
"1054","challenging","trails",1
"1055","chang","mcmaster",1
"1056","change","addresses",1
"1057","change","capabilities",1
"1058","change","central",1
"1059","change","electronics",1
"1060","change","entailing",1
"1061","change","parents",1
"1062","change","pertaining",1
"1063","change","priorities",1
"1064","change","resulting",1
"1065","change","settlement",1
"1066","changed","behaviour",1
"1067","changed","biologically",1
"1068","changed","society",1
"1069","changing","aspirations",1
"1070","changing","digital",1
"1071","changing","infinite",1
"1072","changing","landscape",1
"1073","changing","nature",1
"1074","changing","prevailing",1
"1075","changing","relat",1
"1076","chaparak","kousari",1
"1077","charitable","trust",1
"1078","charles","darwin",1
"1079","chatri","sripaipan",1
"1080","chemistry","biology",1
"1081","chemistry","involving",1
"1082","chiayi","university",1
"1083","chief","learning",1
"1084","china","70142023",1
"1085","china","b27847",1
"1086","china","canada",1
"1087","china's","external",1
"1088","choices","demonstrating",1
"1089","choices","taking",1
"1090","chowdhury","ceo",1
"1091","chris","cowan",1
"1092","chris","ertel",1
"1093","christian","quale",1
"1094","chung","jackie",1
"1095","circular","economy",1
"1096","circular","theory",1
"1097","circular","view",1
"1098","cities","academic",1
"1099","cities","exceeding",1
"1100","cities","programme",1
"1101","cities","tunis",1
"1102","citizen","consumer",1
"1103","citizen","involvement",1
"1104","citizen","participation",1
"1105","citizens","insist",1
"1106","citizens","operating",1
"1107","civic","attention",1
"1108","civil","communities",1
"1109","civil","service",1
"1110","civilian","technologies",1
"1111","civilizational","challenge",1
"1112","civilizational","code",1
"1113","claire","veuthey",1
"1114","clark","jim",1
"1115","class","social",1
"1116","classes","networks",1
"1117","classical","monetary",1
"1118","classical","theory",1
"1119","classification","e44",1
"1120","classification","f22",1
"1121","claudia","juech",1
"1122","clayton","deborah",1
"1123","clean","fuel",1
"1124","clean","housing",1
"1125","clean","motor",1
"1126","cleaner","vehicles",1
"1127","clearer","view",1
"1128","clements","ipts",1
"1129","client","organization",1
"1130","climate","change",1
"1131","climate","technology",1
"1132","clock","ticks",1
"1133","cloistered","environment",1
"1134","closely","examine",1
"1135","closer","interface",1
"1136","closer","nexus",1
"1137","closest","representation",1
"1138","cloud","data",1
"1139","cluster","age",1
"1140","cluster","initiatives",1
"1141","cluster","university",1
"1142","cmvh","receives",1
"1143","coast","queensland",1
"1144","cognitive","complexity",1
"1145","cognitive","functions",1
"1146","collaborative","action",1
"1147","collection","tool",1
"1148","collyns","jay",1
"1149","coloquium","educación",1
"1150","combat","social",1
"1151","combines","competitiveness",1
"1152","combining","technological",1
"1153","comfortable","living",1
"1154","coming","centuries",1
"1155","coming","secondary",1
"1156","command","based",1
"1157","command","planning",1
"1158","comments","feedback",1
"1159","comments","finally",1
"1160","comments","provided",1
"1161","comments","toni",1
"1162","commerce","local",1
"1163","commerce","thrive",1
"1164","commercial","locality",1
"1165","commercial","players",1
"1166","commercial","providers",1
"1167","commissariat","général",1
"1168","commission","joint",1
"1169","commission's","7th",1
"1170","commission's","dg",1
"1171","commission's","institute",1
"1172","commission’s","forward",1
"1173","commissioned","academic",1
"1174","committee","experts",1
"1175","commodified","realm",1
"1176","commodified","sphere",1
"1177","commodity","economy",1
"1178","common","denominators",1
"1179","common","origin",1
"1180","common","set",1
"1181","common","trends",1
"1182","commonly","reported",1
"1183","commonwealth","government's",1
"1184","communication","capabilities",1
"1185","communication","process",1
"1186","communication","processes",1
"1187","communication","remains",1
"1188","communication","scientists",1
"1189","communication","systems",1
"1190","communication","tools",1
"1191","communication","transaction",1
"1192","communications","channels",1
"1193","communications","experts",1
"1194","communications","markets",1
"1195","communications","technology",1
"1196","communications","transform",1
"1197","communist","party",1
"1198","communities","bringing",1
"1199","communities","evolve",1
