"","word","n"
"143","includ",23
"144","reflect",23
"145","set",23
"146","strategi",23
"147","war",23
"148","basic",22
"149","corpor",22
"150","draw",22
"151","forecast",22
"152","hse",22
"153","live",22
"154","major",22
"155","method",22
"156","person",22
"157","ani",21
"158","carri",21
"159","competit",21
"160","europ",21
"161","evolut",21
"162","feder",21
"163","forc",21
"164","prepar",21
"165","produc",21
"166","secur",21
"167","valuabl",21
"168","becom",20
"169","confer",20
"170","famili",20
"171","food",20
"172","posit",20
"173","success",20
"174","anonym",19
"175","factor",19
"176","individu",19
"177","learn",19
"178","oper",19
"179","repres",19
"180","richard",19
"181","shape",19
"182","signific",19
"183","strateg",19
"184","tradit",19
"185","unit",19
"186","vision",19
"187","workshop",19
"188","act",18
"189","action",18
"190","citizen",18
"191","decis",18
"192","democraci",18
"193","electron",18
"194","growth",18
"195","initi",18
"196","outlin",18
"197","perspect",18
"198","question",18
"199","sinc",18
"200","special",18
"201","academ",17
"202","conclus",17
"203","dynam",17
"204","function",17
"205","intellectu",17
"206","invest",17
"207","meet",17
"208","millennium",17
"209","opinion",17
"210","popul",17
"211","propos",17
"212","protect",17
"213","queensland",17
"214","recent",17
"215","specif",17
"216","team",17
"217","uk",17
"218","applic",16
"219","argu",16
"220","build",16
"221","compani",16
"222","consum",16
"223","decad",16
"224","demand",16
"225","earlier",16
"226","especi",16
"227","exist",16
"228","leadership",16
"229","necessarili",16
"230","slaughter",16
"231","veri",16
"232","access",15
"233","common",15
"234","conflict",15
"235","critic",15
"236","design",15
"237","doe",15
"238","drive",15
"239","expert",15
"240","financi",15
"241","insight",15
"242","local",15
"243","measur",15
"244","permiss",15
"245","qualiti",15
"246","shift",15
"247","techniqu",15
"248","usa",15
"249","benefit",14
"250","board",14
"251","construct",14
"252","cooper",14
"253","creation",14
"254","effici",14
"255","essay",14
"256","evalu",14
"257","expect",14
"258","idea",14
"259","larg",14
"260","ministri",14
"261","modern",14
"262","money",14
"263","monitor",14
"264","prospect",14
"265","real",14
"266","remain",14
"267","rise",14
"268","share",14
"269","subsidi",14
"270","account",13
"271","affect",13
"272","agricultur",13
"273","assess",13
"274","bring",13
"275","council",13
"276","debat",13
"277","direct",13
"278","divers",13
"279","domin",13
"280","employ",13
"281","establish",13
"282","eu",13
"283","exampl",13
"284","experi",13
"285","finland",13
"286","follow",13
"287","liber",13
"288","militari",13
"289","nanotechnolog",13
"290","nuclear",13
"291","oil",13
"292","prioriti",13
"293","rang",13
"294","respond",13
"295","scientif",13
"296","theori",13
"297","togeth",13
"298","transport",13
"299","agenda",12
"300","assist",12
"301","center",12
"302","conclud",12
"303","conduct",12
"304","control",12
"305","digit",12
"306","ecolog",12
"307","ethic",12
"308","feedback",12
"309","genet",12
"310","implic",12
"311","influenc",12
"312","internet",12
"313","past",12
"314","play",12
"315","practic",12
"316","predict",12
"317","purpos",12
"318","risk",12
"319","water",12
"320","wealth",12
"321","analys",11
"322","call",11
"323","citi",11
"324","cold",11
"325","context",11
"326","creativ",11
"327","director",11
"328","effort",11
"329","era",11
"330","indic",11
"331","intellig",11
"332","leader",11
"333","progress",11
"334","relationship",11
"335","safeti",11
"336","seek",11
"337","sever",11
"338","skill",11
"339","sourc",11
"340","standard",11
"341","trade",11
"342","transit",11
"343","twenti",11
"344","vol",11
"345","wide",11
"346","adapt",10
"347","addit",10
"348","adopt",10
"349","appli",10
"350","aspect",10
"351","care",10
"352","choic",10
"353","circumst",10
"354","cost",10
"355","excel",10
"356","final",10
"357","fundament",10
"358","highlight",10
"359","histori",10
"360","inspir",10
"361","licens",10
"362","manchest",10
"363","orient",10
"364","perform",10
"365","prefer",10
"366","reason",10
"367","regard",10
"368","seri",10
"369","socio",10
"370","tool",10
"371","uncertainti",10
"372","urban",10
"373","wisdom",10
"374","ahead",9
"375","apec",9
"376","atlant",9
"377","becaus",9
"378","befor",9
"379","behaviour",9
"380","china",9
"381","commerc",9
"382","condit",9
"383","consult",9
"384","dimens",9
"385","dure",9
"386","engin",9
"387","essenti",9
"388","exercis",9
"389","grow",9
"390","limit",9
"391","maker",9
"392","offic",9
"393","organiz",9
"394","paradigm",9
"395","piec",9
"396","prest",9
"397","principl",9
"398","radic",9
"399","rais",9
"400","realiti",9
"401","refere",9
"402","solut",9
"403","subject",9
"404","technic",9
"405","themselv",9
"406","written",9
"407","administr",8
"408","alreadi",8
"409","anticip",8
"410","asia",8
"411","attribut",8
"412","authorship",8
"413","biolog",8
"414","boom",8
"415","capac",8
"416","compon",8
"417","compris",8
"418","consensus",8
"419","defenc",8
"420","difficult",8
"421","disciplin",8
"422","driver",8
"423","due",8
"424","emerald",8
"425","encourag",8
"426","evid",8
"427","evolv",8
"428","illustr",8
"429","infrastructur",8
"430","instrument",8
"431","interact",8
"432","land",8
"433","literatur",8
"434","necessari",8
"435","offici",8
"436","option",8
"437","outcom",8
"438","path",8
"439","peac",8
"440","permit",8
"441","physic",8
"442","promis",8
"443","refer",8
"444","reform",8
"445","revolut",8
"446","short",8
"447","stage",8
"448","start",8
"449","suppli",8
"450","survey",8
"451","whi",8
"452","workforc",8
"453","2009revis",7
"454","academi",7
"455","agenc",7
"456","america",7
"457","american",7
"458","asset",7
"459","attempt",7
"460","australian",7
"461","balanc",7
"462","begin",7
"463","central",7
"464","cluster",7
"465","collect",7
"466","commerci",7
"467","confront",7
"468","content",7
"469","cours",7
"470","defin",7
"471","demograph",7
"472","depend",7
"473","desir",7
"474","dg",7
"475","distribut",7
"476","document",7
"477","draft",7
"478","driven",7
"479","emphasi",7
"480","empir",7
"481","engag",7
"482","equal",7
"483","europe’",7
"484","extend",7
"485","financ",7
"486","found",7
"487","gain",7
"488","gratitud",7
"489","head",7
"490","histor",7
"491","http",7
"492","imag",7
"493","ipt",7
"494","job",7
"495","low",7
"496","manuscript",7
"497","map",7
"498","matter",7
"499","mechan",7
"500","move",7
"501","notion",7
"502","object",7
"503","omiss",7
"504","onc",7
"505","partner",7
"506","previous",7
"507","rapid",7
"508","ration",7
"509","recommend",7
"510","reduc",7
"511","relev",7
"512","scale",7
"513","scan",7
"514","seminar",7
"515","sens",7
"516","situat",7
"517","statist",7
"518","strengthen",7
"519","strong",7
"520","task",7
"521","type",7
"522","abil",6
"523","accompani",6
"524","advic",6
"525","ago",6
"526","aid",6
"527","alon",6
"528","alway",6
"529","annual",6
"530","anoth",6
"531","attent",6
"532","avoid",6
"533","background",6
"534","behalf",6
"535","biotechnolog",6
"536","broad",6
"537","chanc",6
"538","colleagu",6
"539","commodifi",6
"540","consist",6
"541","consumpt",6
"542","convers",6
"543","coordin",6
"544","copi",6
"545","cover",6
"546","crisi",6
"547","cyborg",6
"548","democrat",6
"549","determin",6
"550","domest",6
"551","earli",6
"552","east",6
"553","edit",6
"554","enhanc",6
"555","enterpris",6
"556","error",6
"557","everi",6
"558","extern",6
"559","facilit",6
"560","frame",6
"561","fuel",6
"562","generous",6
"563","held",6
"564","home",6
"565","hypothesi",6
"566","ideolog",6
"567","input",6
"568","intend",6
"569","ireland",6
"570","japan",6
"571","joint",6
"572","lack",6
"573","lie",6
"574","lifestyl",6
"575","line",6
"576","link",6
"577","manufactur",6
"578","megac",6
"579","observ",6
"580","opec",6
"581","pattern",6
"582","percept",6
"583","pessimist",6
"584","philosophi",6
"585","pressur",6
"586","price",6
"587","promot",6
"588","reach",6
"589","rethink",6
"590","reveal",6
"591","rule",6
"592","russia",6
"593","serv",6
"594","sphere",6
"595","strength",6
"596","surviv",6
"597","sweden",6
"598","ten",6
"599","user",6
"600","usual",6
"601","warn",6
"602","win",6
"603","abl",5
"604","actor",5
"605","answer",5
"606","anticipatori",5
"607","art",5
"608","asian",5
"609","aspir",5
"610","assign",5
"611","attract",5
"612","bank",5
"613","characterist",5
"614","claim",5
"615","clean",5
"616","close",5
"617","collabor",5
"618","combin",5
"619","commit",5
"620","compar",5
"621","comprehens",5
"622","comput",5
"623","conceptu",5
"624","confid",5
"625","contract",5
"626","contrast",5
"627","converg",5
"628","deal",5
"629","declin",5
"630","deep",5
"631","definit",5
"632","distinguish",5
"633","drug",5
"634","ensur",5
"635","execut",5
"636","expand",5
"637","fit",5
"638","foster",5
"639","freedom",5
"640","green",5
"641","happen",5
"642","heart",5
"643","interfac",5
"644","journal",5
"645","languag",5
"646","machin",5
"647","mainstream",5
"648","media",5
"649","minim",5
"650","monetari",5
"651","moral",5
"652","norway",5
"653","occur",5
"654","overal",5
"655","ownership",5
"656","partial",5
"657","payment",5
"658","perhap",5
"659","peter",5
"660","player",5
"661","politician",5
"662","prior",5
"663","privat",5
"664","profession",5
"665","prohibit",5
"666","prolifer",5
"667","rate",5
"668","reproduct",5
"669","resist",5
"670","section",5
"671","select",5
"672","shown",5
"673","singl",5
"674","smith",5
"675","societ",5
"676","solidar",5
"677","sponsor",5
"678","stimul",5
"679","tackl",5
"680","taiwan",5
"681","text",5
"682","therebi",5
"683","today’",5
"684","topic",5
"685","total",5
"686","turku",5
"687","ultim",5
"688","union",5
"689","util",5
"690","virtual",5
"691","visit",5
"692","wave",5
"693","weak",5
"694","weapon",5
"695","western",5
"696","wider",5
"697","2008revis",4
"698","abov",4
"699","accomplish",4
"700","accord",4
"701","accuraci",4
"702","advantag",4
"703","advoc",4
"704","afford",4
"705","air",4
"706","appreci",4
"707","assumpt",4
"708","benchmark",4
"709","billion",4
"710","brought",4
"711","causal",4
"712","chemistri",4
"713","civil",4
"714","class",4
"715","client",4
"716","committe",4
"717","complementari",4
"718","complet",4
"719","confluenc",4
"720","conscious",4
"721","consortium",4
"722","constitut",4
"723","contemporari",4
"724","controversi",4
"725","convent",4
"726","cope",4
"727","cross",4
"728","daim",4
"729","declar",4
"730","degre",4
"731","demonstr",4
"732","detail",4
"733","diminish",4
"734","doubl",4
"735","emot",4
"736","enlarg",4
"737","entertain",4
"738","event",4
"739","everyon",4
"740","extent",4
"741","fall",4
"742","figur",4
"743","flexibl",4
"744","foreign",4
"745","forward",4
"746","fulli",4
"747","gene",4
"748","ground",4
"749","guid",4
"750","guidanc",4
"751","hand",4
"752","har",4
"753","hard",4
"754","hawaii",4
"755","hope",4
"756","horizon",4
"757","hydrogen",4
"758","imper",4
"759","impli",4
"760","inde",4
"761","indispens",4
"762","inequ",4
"763","inevit",4
"764","interconnect",4
"765","interview",4
"766","iot",4
"767","jame",4
"768","laboratori",4
"769","landscap",4
"770","larger",4
"771","leisur",4
"772","light",4
"773","linkag",4
"774","mind",4
"775","modifi",4
"776","motiv",4
"777","multi",4
"778","multipl",4
"779","negat",4
"780","net",4
"781","oecd",4
"782","optim",4
"783","origin",4
"784","outsid",4
"785","overlook",4
"786","pacif",4
"787","parallel",4
"788","people’",4
"789","phase",4
"790","picmet",4
"791","planet",4
"792","platform",4
"793","pleas",4
"794","policymak",4
"795","pollut",4
"796","poor",4
"797","post",4
"798","poverti",4
"799","practition",4
"800","premis",4
"801","presenc",4
"802","profit",4
"803","prompt",4
"804","pure",4
"805","raskin",4
"806","reactor",4
"807","realiz",4
"808","recogn",4
"809","regulatori",4
"810","republ",4
"811","reserv",4
"812","revolutionari",4
"813","rosen",4
"814","safeguard",4
"815","sandera",4
"816","secreci",4
"817","separ",4
"818","session",4
"819","simpli",4
"820","slow",4
"821","space",4
"822","staff",4
"823","stakehold",4
"824","steer",4
"825","step",4
"826","synergi",4
"827","target",4
"828","tension",4
"829","terror",4
"830","test",4
"831","train",4
"832","transfer",4
"833","trust",4
"834","unesco",4
"835","uniqu",4
"836","unpreced",4
"837","updat",4
"838","varieti",4
"839","visionari",4
"840","warfar",4
"841","warm",4
"842","whatev",4
"843","wilson",4
"844","worldwid",4
"845","write",4
"846","yale",4
"847","absenc",3
"848","abund",3
"849","acceler",3
"850","ad",3
"851","advent",3
"852","agre",3
"853","america’",3
"854","anyth",3
"855","apf",3
"856","appropri",3
"857","artefact",3
"858","artifici",3
"859","assert",3
"860","atom",3
"861","attitud",3
"862","auckland",3
"863","automot",3
"864","awar",3
"865","becam",3
"866","belief",3
"867","blind",3
"868","brain",3
"869","brand",3
"870","break",3
"871","broader",3
"872","canada",3
"873","candid",3
"874","caus",3
"875","certif",3
"876","channel",3
"877","character",3
"878","child",3
"879","circular",3
"880","classif",3
"881","climat",3
"882","closer",3
"883","cmvh",3
"884","cognit",3
"885","collaps",3
"886","comfort",3
"887","connect",3
"888","contact",3
"889","crucial",3
"890","ctf",3
"891","date",3
"892","dead",3
"893","deepli",3
"894","deliv",3
"895","deni",3
"896","depict",3
"897","depth",3
"898","deriv",3
"899","descript",3
"900","destruct",3
"901","determinist",3
"902","deviat",3
"903","disast",3
"904","diseas",3
"905","distant",3
"906","distinct",3
"907","divid",3
"908","domain",3
"909","dramat",3
"910","drawn",3
"911","earth",3
"912","easili",3
"913","economist",3
"914","electr",3
"915","element",3
"916","empow",3
"917","enjoy",3
"918","enrich",3
"919","entail",3
"920","entitl",3
"921","estat",3
"922","estim",3
"923","exacerb",3
"924","exclus",3
"925","expans",3
"926","exploit",3
"927","export",3
"928","extract",3
"929","extraordinari",3
"930","fail",3
"931","feasibl",3
"932","feed",3
"933","fiction",3
"934","fifteen",3
"935","finnish",3
"936","firm",3
"937","fix",3
"938","formal",3
"939","forthcom",3
"940","forum",3
"941","fossil",3
"942","frank",3
"943","frequent",3
"944","furthermor",3
"945","gap",3
"946","gather",3
"947","germani",3
"948","government",3
"949","graduat",3
"950","gross",3
"951","half",3
"952","hankuk",3
"953","hayward",3
"954","healthcar",3
"955","healthi",3
"956","hospit",3
"957","host",3
"958","household",3
"959","ideal",3
"960","ident",3
"961","ignor",3
"962","imagin",3
"963","index",3
"964","info",3
"965","inhabit",3
"966","insid",3
"967","insur",3
"968","intens",3
"969","inter",3
"970","interdepend",3
"971","intergener",3
"972","investig",3
"973","invit",3
"974","ist",3
"975","keynot",3
"976","labour",3
"977","late",3
"978","layer",3
"979","librari",3
"980","linear",3
"981","logic",3
"982","london",3
"983","longev",3
"984","lower",3
"985","macau",3
"986","macro",3
"987","manipul",3
"988","mark",3
"989","massiv",3
"990","master",3
"991","meanwhil",3
"992","medicin",3
"993","medium",3
"994","met",3
"995","metaphor",3
"996","million",3
"997","mode",3
"998","moscow",3
"999","motor",3
"1000","ms",3
"1001","municip",3
"1002","mutual",3
"1003","nc",3
"1004","neglect",3
"1005","nhs",3
"1006","node",3
"1007","noderiv",3
"1008","noncommerci",3
"1009","norm",3
"1010","north",3
"1011","noth",3
"1012","occup",3
"1013","otherwis",3
"1014","outlook",3
"1015","output",3
"1016","overcom",3
"1017","pace",3
"1018","panel",3
"1019","pari",3
"1020","parti",3
"1021","participatori",3
"1022","paul",3
"1023","penetr",3
"1024","perceiv",3
"1025","phenomena",3
"1026","plenti",3
"1027","polar",3
"1028","popular",3
"1029","pose",3
"1030","postul",3
"1031","practis",3
"1032","predomin",3
"1033","prerequisit",3
"1034","press",3
"1035","preval",3
"1036","prevent",3
"1037","primari",3
"1038","probabl",3
"1039","procedur",3
"1040","profess",3
"1041","profil",3
"1042","profound",3
"1043","project’",3
"1044","properti",3
"1045","proport",3
"1046","proposit",3
"1047","prosper",3
"1048","prove",3
"1049","pursuit",3
"1050","quadrant",3
"1051","quantit",3
"1052","regular",3
"1053","reli",3
"1054","reliabl",3
"1055","replac",3
"1056","return",3
"1057","robinson",3
"1058","routin",3
"1059","rpo",3
"1060","scope",3
"1061","simmel’",3
"1062","simpl",3
"1063","simultan",3
"1064","size",3
"1065","sohail",3
"1066","sole",3
"1067","solv",3
"1068","sometim",3
"1069","south",3
"1070","speci",3
"1071","sport",3
"1072","stavang",3
"1073","street",3
"1074","stronger",3
"1075","surfac",3
"1076","swiss",3
"1077","synthesi",3
"1078","systemat",3
"1079","talent",3
"1080","tech",3
"1081","tele",3
"1082","telecommun",3
"1083","tempor",3
"1084","theme",3
"1085","there’",3
"1086","therefor",3
"1087","threat",3
"1088","threaten",3
"1089","top",3
"1090","transact",3
"1091","translat",3
"1092","true",3
"1093","tugrul",3
"1094","turbul",3
"1095","typic",3
"1096","uk’",3
"1097","uncertain",3
"1098","uncheck",3
"1099","undergon",3
"1100","underpin",3
"1101","underway",3
"1102","unu",3
"1103","versus",3
"1104","viewpoint",3
"1105","villag",3
"1106","wellb",3
"1107","west",3
"1108","women",3
"1109","woodrow",3
